cycle,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,tracking,poll_id,question_id
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/28/2020,10/25/2020,SurveyMonkey,654,lv,0.3558495,0.3558495,31,29.71173,29.79551,T,71978,134981
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/26/2020,10/24/2020,SurveyMonkey,649,lv,0.0242797,0.024138,31,29.71173,29.80521,T,71893,134807
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/26/2020,10/23/2020,SurveyMonkey,638,lv,0,0,31,29.71173,29.81584,T,71826,134672
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/25/2020,10/22/2020,SurveyMonkey,616,lv,0.0117838,0.0113713,30,28.72683,28.87658,T,71765,134541
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/24/2020,10/21/2020,SurveyMonkey,605,lv,0.0115472,0.0110756,31,29.71173,29.87484,T,71682,134342
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/23/2020,10/20/2020,SurveyMonkey,597,lv,0.0113715,0.0108407,32,30.69742,30.87572,T,71569,134117
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/22/2020,10/19/2020,SurveyMonkey,579,lv,0.0110091,0.010431,32,30.69742,30.88842,T,71467,133905
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/21/2020,10/18/2020,SurveyMonkey,558,lv,0.0105935,0.0099754,33,31.68389,31.89429,T,71382,133721
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/20/2020,10/17/2020,SurveyMonkey,553,lv,0.0104849,0.009812,33,31.68389,31.91044,T,71300,133560
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/19/2020,10/16/2020,SurveyMonkey,531,lv,0.0100569,0.0093528,33,31.68389,31.93012,T,71242,133443
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/18/2020,10/15/2020,SurveyMonkey,499,lv,0.0094428,0.0087266,34,32.67114,32.93822,T,71181,133316
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/16/2020,10/14/2020,SurveyMonkey,450,lv,0.0164332,0.015091,36,34.64794,34.93693,T,71107,133166
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/16/2020,10/13/2020,SurveyMonkey,416,lv,0,0,36,34.64794,34.95667,T,71013,132959
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/15/2020,10/12/2020,SurveyMonkey,409,lv,0.0077304,0.0070088,35,33.65916,33.98576,T,70975,132805
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,6/8/2020,6/30/2020,SurveyMonkey,98,lv,0.1104814,0.0189507,22.22,21.09246,21.95455,,70447,131301
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,7/1/2020,7/31/2020,SurveyMonkey,246,lv,0.1836011,0.0604148,27.69,26.4548,27.38197,,70397,131199
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,8/1/2020,8/31/2020,SurveyMonkey,211,lv,0.1186855,0.0674444,25.07,23.88317,24.71902,,70347,131097
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/1/2020,9/30/2020,SurveyMonkey,236,lv,0.0582002,0.0480134,33.86,32.53288,33.22647,T,70295,130990
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/20/2020,10/25/2020,ABC News/The Washington Post,809,lv,1.741548,1.51483,57,55.70666,55.73697,,72075,135124
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/27/2020,10/25/2020,SurveyMonkey,4466,lv,0.5723285,0.1010528,55,53.31041,53.41481,T,71980,134983
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/20/2020,10/26/2020,Ipsos,664,lv,0.8276814,0.7172713,53,53.63178,53.67278,,71975,134924
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/13/2020,10/21/2020,YouGov,647,lv,0.6516947,0.3107423,53,53.2149,53.23836,,71948,134867
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/26/2020,10/24/2020,SurveyMonkey,4465,lv,0.0206495,0.0033344,55,53.31041,53.4297,T,71895,134809
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/23/2020,10/23/2020,Gravis Marketing,677,lv,0.8121232,0.8121232,54,53.50415,53.52987,,71877,134726
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/25/2020,10/23/2020,SurveyMonkey,4490,lv,0.0218576,0.0032046,55,53.31041,53.44689,T,71828,134674
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/25/2020,10/22/2020,SurveyMonkey,4528,lv,0,0,55,53.31041,53.52044,T,71767,134543
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/24/2020,10/21/2020,SurveyMonkey,4540,lv,0.0314974,0.0024849,55,53.31041,53.53517,T,71684,134344
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/14/2020,10/20/2020,RMG Research,800,lv,0.8138771,0.3900701,50,50.6482,50.67674,,71660,134247
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/11/2020,10/20/2020,Morning Consult,1038,lv,0.8791218,0.3673895,54,53.90808,53.90384,T,71648,134220
